year,eventId,event,event_image
1937,3,"The United Kingdom's ""999"" Emergency Telephone Service begins operations. ",/images/events/1937_event_3.jpg
1937,4,"The German airship Hindenburg bursts into flames while attempting to moor at Lakehurst, New Jersey. ",/images/events/1937_event_4.jpg
1937,5,The Memorial Day Massacre takes place in Chicago. ,/images/events/1937_event_5.jpg
1937,6,"Japan Invades China and seizes Peking, Tietsin, Nanjing, Shanghai and Hangchow. ",/images/events/1937_event_6.jpg
1938,1,"Seabiscuit beats War Admiral in the ""Race of the Century.""",/images/events/1938_event_1.jpg
1938,2,Orson Welles' radio adaptation of The War of the Worlds is broadcast. ,/images/events/1938_event_2.jxr
1938,3,"Aviator Howard Hughes flies around the world in 3 days and 19 hours, setting a new record. ",/images/events/1938_event_3.jpg
1938,4,The Fair Labor Standards Act ( Wages and Hours Bill ) passes. ,/images/events/1938_event_4.jpg
1938,5,Germany begins its persecution of Jews. ,/images/events/1938_event_5.jpg
1938,6,"The very first ""Superman"" comic is issued by Action Comics. ",/images/events/default.png
1939,1,Germany attacks Poland starting World War II. ,/images/events/1939_event_1.jpg
1939,2,Lou Gehrig retires from Major League Baseball after being diagnosed with ALS. ,/images/events/1939_event_2.jpg
1939,3,Physicists Albert Einstein and Leo Szilard send a letter to President Roosevelt urging the United States to invest time and money into the secret development of nuclear weapons before Germany developed the technology first. ,/images/events/1939_event_3.jpg
1939,4,Dictator Francisco Franco conquers Madrid ending the Spanish Civil War. ,/images/events/1939_event_4.jpg
1939,5,Russia invades Finland. ,/images/events/1939_event_5.jpg
1939,6,"The beloved film starring Judy Garland ""The Wizard of Oz"" premieres. ",/images/events/1939_event_6.jpg
1939,7,The World's Fair opens in New York. ,/images/events/default.png
1940,1,"Germany invades Denmark, Norway, France, Luxembourg, Belgium, and the Netherlands during World War II. ",/images/events/1940_event_1.jpg
1940,2,"Benjamin O. Davis, Sr. is appointed as a General in the United States Army, becoming the first African-American to hold such a position. ",/images/events/1940_event_2.jpg
1940,3,"President Roosevelt signs the Selective Training and Service Act, making it the first military draft to be created during a peacetime in the United States. ",/images/events/1940_event_3.jpg
1940,4,Franklin D. Roosevelt is elected for an unprecedented third term as the U.S. president. ,/images/events/1940_event_4.jpg
1940,5,"Germany begins bombing London in what was known as ""The Blitz"" in an attempt to weaken the British Royal Air Force. ",/images/events/1940_event_5.jpg
1941,1,The Mount Rushmore sculpture is completed. ,/images/events/1941_event_1.jpg
1941,2,"Japan launches a surprise attack on the U.S. base in Pearl Harbor, Hawaii, bringing the United States into the War. Italy and Germany also declare war on the United States. ",/images/events/1941_event_2.jpg
1941,3,Soviet Russia and Japan sign a non-aggression pact. ,/images/events/1941_event_3.jpg
1941,4,"The Siege of Leningrad begins as German troops enter the Soviet Union, the siege will last until 1944. ",/images/events/1941_event_4.jpg
1941,5,"The G.I. Bill is signed by President Roosevelt, providing financial aid to World War II veterans. ",/images/events/1941_event_5.jpg
1942,1,The draft age in the United States is lowered from 21 to 18. ,/images/events/1942_event_1.gif
1942,2,"The famous and well-regarded film ""Casablanca"" premieres in New York City during the month of November. ",/images/events/1942_event_2.jpg
1942,3,The Battle of Midway begins between Japan and the U.S. ,/images/events/1942_event_3.jpg
1942,4,"The U.S. Congress creates several branches of the armed forces for women to join the war effort, including the Army's Women;s Auxiliary Corps or WACs, the Navy's WAVES, the Coast Guard's SPARs, and the Women Air Force Service Pilots. ",/images/events/1942_event_4.jpg
1942,5,The United States and Canada begin the unjust removal and internment of Japanese-Americans and Japanese-Canadians in the fear that they will become a security threat during the war. ,/images/events/1942_event_5.jpg
1943,1,The Pentagon building is completed. ,/images/events/1943_event_1.jpg
1943,2,Mussolini resigns from his position of power and Italy surrenders during World War II. ,/images/events/1943_event_2.jpg
1943,3,General Dwight D. Eisenhower takes control of the Allied forces when he is appointed as the Supreme Allied Commander. ,/images/events/1943_event_3.jpg
1943,4,"Jacques Cousteau and Emile Gagnan invent the ""Aqualung."" ",/images/events/1943_event_4.jpg
1943,5,An uprising takes place in the Warsaw Jewish Ghetto against the Nazis. ,/images/events/1943_event_5.jpg
1944,1,"President Roosevelt is elected to a fourth term in the United States, becoming the only person to ever do so. His fourth term does not last long however, as he died during the next year in April of 1945. ",/images/events/1944_event_1.jpg
1944,2,"Operation Overlord (D-Day) sees 150,000 Allied troops successfully storm the beachs of Normandy in France. Paris is soon liberated as the troops make their way through the country. ",/images/events/1944_event_2.jpg
1944,3,Popular musician and band leader Glenn Miller is reported missing while on his way to perform for troops in Paris. ,/images/events/1944_event_3.jpg
1944,4,Indian independence leader Mahatma Gandhi is released from prison. ,/images/events/1944_event_4.jpg
1944,5,Poland is liberated from Nazi occupation by Soviet troops and the Polish Home Army. ,/images/events/1944_event_5.jpg
1945,1,"World War II ends as Allied and Soviet forces make their way towards Germany, liberating concentration camps along the way. ",/images/events/default.png
1945,2,"The United States drops two atomic bombs on Japan, bringing an end to the Pacific side of the war. ",/images/events/1945_event_2.jpg
1945,3,The United Nations is created after fifty nations sign the charter. ,/images/events/1945_event_3.jpg
1945,4,Vietnam declares its independence from France under Ho Chi Minh. ,/images/events/default.png
1945,5,Harry S. Truman becomes the United States President after FDR dies. ,/images/events/1945_event_5.jpg
1946,1,"The ENIAC (Electronic Numerical Integrator and Computer), the first programmable electronic computer, is unveiled at the University of Pennsylvania. ",/images/events/1946_event_1.jpg
1946,2,The Philippines becomes independent after being under U.S. rule for forty-eight years. ,/images/events/1946_event_2.png
1946,3,The BBC resumes regular television broadcasting after being off the air during World War II. ,/images/events/1946_event_3.jpg
1946,4,Department stores begin to sell Tupperware food containers. ,/images/events/1946_event_4.png
1946,5,"The former Prime Minister of England, Winston Churchill, gives his ""Iron Curtain"" speech. ",/images/events/default.png
1947,1,"The transistor is invented at Bell Laboratories by William Shockley, Walter Brattain, and John Bardeen. ",/images/events/default.png
1947,2,India and Pakistan become independent from the United Kingdom. ,/images/events/default.png
1947,3,The Polaroid instant camera is demonstrated. ,/images/events/default.png
1947,4,"Jackie Robinson becomes a part of the Dodgers, becoming the first African-American to play baseball for the Major League. ",/images/events/default.png
1947,5,Ferrari begins to produce sports cars. ,/images/events/default.png
1948,1,Israel is created as an independent Jewish state. ,/images/events/1948_event_1.jpg
1948,2,The beloved Indian independence leader and pacifist Mahatma Gandhi is assassinated. ,/images/events/1948_event_2.jpg
1948,3,Great Britain creates the NHS (National Health Service). ,/images/events/1948_event_3.png
1948,4,"George de Mestral, a Swiss engineer, creates Velcro but it is not formally patented until 1955. ",/images/events/1948_event_4.jpg
1948,5,The first NASCAR race for modified stock cars is held in Daytona Beach. ,/images/events/1948_event_5.jpg
1949,1,NATO (North Atlantic Treaty Organization) is established. ,/images/events/1949_event_1.jpg
1949,2,Mao Zedong establishes the People's Republic of China. ,/images/events/1949_event_2.jpg
1949,3,The Goldbergs airs live on CBS as one of the very first television sitcoms. ,/images/events/1949_event_3.jpg
1949,4,"The first test flight of the De Havilland Comet takes place, it would later become the first commercial passenger jet. ",/images/events/1949_event_4.jpg
1949,5,45 RPM records are introduced.,/images/events/1949_event_5.jpg
1950,1,The Diner's Club begins issuing the first credit cards. ,/images/events/1950_event_1.png
1950,2,The Korean War begins when North Korea invades South Korea. ,/images/events/1950_event_2.jpg
1950,3,Famous physicist Albert Einstein warns the world that a nuclear war would lead to mutual destruction. ,/images/events/1950_event_3.jpg
1950,4,The United States begins the development and production of the hydrogen bomb. ,/images/events/1950_event_4.jpg
1950,5,The FIFA World Cup is held in Brazil and Uruguay wins the title. ,/images/events/1950_event_5.jpg
1951,1,I Love Lucy premieres on television on the CBS network. ,/images/events/1951_event_1.jpg
1951,2,"DJ Alan Freed coins the term ""Rock n' Roll."" ",/images/events/1951_event_2.jpg
1951,3,Libya becomes independent from Italian rule after about forty years. ,/images/events/1951_event_3.jpg
1951,4,Luis Miramontes develops the first oral contraceptive. ,/images/events/1951_event_4.jpg
1951,5,"The United States ratifies the 22nd amendment, limiting a president to two terms. ",/images/events/1951_event_5.jpg
1952,1,"Elizabeth II becomes the Queen of England after her father, George VI, dies. ",/images/events/1952_event_1.jpg
1952,2,The first hydrogen bomb is successfully detonated by the United States. ,/images/events/1952_event_2.jxr
1952,3,The Mau Mau Rebellion begins in Kenya as an effort to end the British rule of the country. ,/images/events/1952_event_3.jpg
1952,4,Puerto Rico is named as a self-governing commonwealth of the U.S. ,/images/events/1952_event_4.png
1952,5,The first issue of the comedy-driven MAD Magazine is published.,/images/events/1952_event_5.jpg
1953,1,The Double Helix DNA Model is revealed by Francis Crick and James Watson. ,/images/events/1953_event_1.jpg
1953,2,"Sir Edmund Hillary and Tenzing Norgay become the first people to successfully climb to the top of Mount Everest, the tallest mountain in the world. ",/images/events/1953_event_2.jpg
1953,3,Jonas Salk develops the first polio vaccine. ,/images/events/1953_event_3.jpg
1953,4,"The first James Bond novel, ""Casino Royale,"" is published by British author Ian Fleming. ",/images/events/1953_event_4.jpg
1953,5,"Joseph Stalin, the leader of the USSR, dies and is replaced by Nikita Khrushchev. ",/images/events/1953_event_5.jpg
1954,1,The U.S. Supreme Court rules that racial segregation is unconstitutional in public schools in their unanimous decision of Brown v. Board of Education. ,/images/events/1954_event_1.jpg
1954,2,"U.S. Senator Joseph McCarthy is censured by the Senate, ending his four year long hunt for Communists within the United States government. ",/images/events/default.png
1954,3,Frozen TV Dinners are introduced by Swanson. ,/images/events/1954_event_3.jpg
1954,4,Ellis Island ceases to be a point of immigration into the U.S. when it officially closes. ,/images/events/1954_event_4.jpg
1954,5,Roger Bannister becomes the first recorded man to run a mile in under four minutes. ,/images/events/1954_event_5.jxr
1955,1,"The popular children's television show ""The Mickey Mouse Club"" premieres. The Disneyland theme park in California also opened during this year.. ",/images/events/1955_event_1.jpg
1955,2,"The Warsaw Pact is signed by the Soviet Union and seven of its satellite countries (Poland, Hungary, East Germany, Albania, Bulgaria, Romania, and Czechoslovakia). ",/images/events/default.png
1955,3,"Rosa Parks is arrested in Alabama after she refuses to give up her bus seat to a white passenger, sparking the Civil Rights Movement. ",/images/events/1955_event_3.jpg
1955,4,The McDonald's chain of restaurants is started by Ray Kroc. ,/images/events/1955_event_4.jpg
1955,5,"The United States adds ""In God We Trust"" to all paper currency. ",/images/events/1955_event_5.jpg
1956,1,"The popular musician Elvis Presley has his very first hit song, ""Heartbreak Hotel."" ",/images/events/1956_event_1.jpg
1956,2,American Actress Grace Kelly marries Prince Rainier of Monaco. ,/images/events/1956_event_2.jpg
1956,3,The Suez Crisis begins after Egypt nationalizes the Suez Canal. ,/images/events/1956_event_3.jpg
1956,4,"The Federal-Aid Highway Act of 1956 becomes law, allowing for the mass construction of tens of thousands of interstate highways in the U.S. ",/images/events/1956_event_4.jpg
1957,1,"The USSR successfully launches Sputnik 1, the very first artificial satellite. They also launch Sputnik 2 later in the year, a satellite that carried the first animal into space. ",/images/events/1957_event_1.jpg
1957,2,"The ""Baby Boom"" peaks during this year. ",/images/events/1957_event_2.jpg
1957,3,Nine African-American students enroll at Little Rock Central High School in Arkansas and are met with resistance by protesters and the state's governor. Federal troops end up escorting the students into the school at the command of President Eisenhower. ,/images/events/1957_event_3.jpg
1957,4,"The European Economic Community is created when West Germany, Italy, Belgium, France, the Netherlands, and Luxembourg sign the Treaty of Rome. ",/images/events/1957_event_4.jpg
1957,5,Malaysia and Ghana gain independence from the United Kingdom. ,/images/events/1957_event_5.jpg
1958,1,The microchip is co-invented by Robert Noyce and Jack Kilby. ,/images/events/1958_event_1.jpg
1958,2,NASA (National Aeronautics and Space Administration) is created. ,/images/events/1958_event_2.png
1958,3,"Bobby Fischer, a fourteen-year-old boy, wins the U.S. Chess Championship. ",/images/events/1958_event_3.jpg
1958,4,The popular children's toy the Hula-Hoop is created by Wham-O. ,/images/events/1958_event_4.jpg
1958,5,The Great Chinese Famine begins. ,/images/events/1958_event_5.png
1959,1,"The Cuban revolution ends and Fidel Castro comes to power, creating the first Communist nation in the West. ",/images/events/1959_event_1.jpg
1959,2,Alaska and Hawaii are admitted as the 49th and 50th states in the U.S. ,/images/events/1959_event_2.jpg
1959,3,The Soviet Union's Luna 2 spacecraft becomes the first man-made object to touch the surface of the Moon after it crashes. ,/images/events/1959_event_3.jpg
1959,4,"The first astronauts are introduced by NASA ( John H. Glenn, Jr. and Alan Shepard, Jr. ). ",/images/events/1959_event_4.jpg
1959,5,The St. Lawrence Seaway is completed. ,/images/events/1959_event_5.jpg
1960,1,Democrat John F. Kennedy wins the U.S. Presidential Election after defeating Republican Richard Nixon. Kennedy became the first president and was the youngest person to have been elected into the highest office at the time. ,/images/events/1960_event_1.jpg
1960,2,"Togo, Cote D'Ivoire, Chad, Benin, Mauritania, Senegal, and the Central African Republic gain independence from France. ",/images/events/default.png
1960,3,The Organization of Petroleum Exporting Countries (OPEC) is created. ,/images/events/1960_event_3.jpg
1960,4,"The United States decides to send 3,500 U.S. troops to Vietnam. ",/images/events/1960_event_4.jpg
1960,5,"TIROS-1, the first weather satellite, is launched by the U.S. ",/images/events/default.png
1961,1,"Soviet Cosmonaut Yuri Gagarin becomes the first person in space. One month later, Alan Shepard becomes the first American in space. ",/images/events/1961_event_1.jpg
1961,2,Construction on the Berlin Wall begins in an effort to separate East and West Berlin. ,/images/events/1961_event_2.jpg
1961,3,"The Bay of Pigs invasion is an unsuccessful U,S, backed operation to overthrow Fidel Castro in Cuba. ",/images/events/1961_event_3.jpg
1961,4,The Peace Corps is created. ,/images/events/1961_event_4.jpg
1961,5,WWF (World Wide Fund for Nature) is created. ,/images/events/default.png
1962,1,The Cuban Missile Crisis has the world on the edge of another World War as the United States and USSR come close to launching nuclear attacks. ,/images/events/1962_event_1.jpg
1962,2,James Meredith becomes the first African-American student to enroll at the University of Mississippi. ,/images/events/1962_event_2.jpg
1962,3,The comic book character of Spider-Man makes his debut in the Amazing Fantasy #15 comic. ,/images/events/1962_event_3.jpg
1962,4,"The Beatles release their first single, ""Love Me Do,"" in the United Kingdom. ",/images/events/1962_event_4.jpg
